obs_time_tcb,centroid_pos_al,centroid_pos_error_al,parallax_factor_al,scan_pos_angle,field_of_view
2457021.59462035,92.56961203970047,0.07026234,0.63927573,-1.74797762,1
2457021.66865041,92.19739090890761,0.06715982,0.6404742,-1.75107922,2
2457062.07578304,141.65890251858548,0.06449053,-0.4728041,-1.16061562,1
2457062.14973958,141.3789243036706,0.07790377,-0.47046134,-1.16536748,2
2457084.83135046,-69.91318982400082,0.07315645,0.45317352,-2.79776043,1
2457084.90532054,-70.59710993418099,0.08447623,0.45549682,-2.8025362,2
2457085.08150972,-71.9326306109621,0.06854168,0.46102113,-2.81392528,1
2457085.15549022,-72.5391313998091,0.06781289,0.46330714,-2.81866738,2
2457128.39009933,-8.621310267475721,0.07289267,-0.6226573,-2.33082959,2
2457227.76029449,-36.16994396679499,0.07166931,0.56378895,1.07753181,1
2457227.83428648,-36.66861138471279,0.06693149,0.56080955,1.08017523,2
2457244.01398448,-150.5150896580813,0.06343285,-0.49733806,2.04234508,1
2457244.08801226,-150.5914922647909,0.06843522,-0.50042486,2.04530875,2
2457287.45450683,115.09078320607918,0.0763528,0.50867182,-0.03317337,1
2457287.52854026,114.86705012179097,0.066925,0.505678,-0.03031226,2
2457303.95657921,-33.43991384952712,0.06313909,-0.5764516,0.9584978,1
2457304.03061904,-33.79270782333349,0.07179758,-0.57928646,0.96100398,2
2457341.91425047,149.22644031638623,0.06243901,0.69865239,-1.10517122,1
2457341.98824681,149.09451069657723,0.06382488,0.69806874,-1.10538382,2
2457369.9014598,90.02485373436312,0.06748035,-0.68724519,0.02942125,1
2457398.64214908,73.41994050008728,0.06911649,0.59663463,-1.91222047,1
2457441.87434415,108.17472015046155,0.06362307,-0.44764015,-1.48830532,1
2457441.94836633,107.93047050252103,0.06759732,-0.44536164,-1.49308653,2
2457442.1245364,106.81971194597888,0.07038261,-0.43987328,-1.50453246,1
2457465.13008985,-90.10317348085745,0.07173613,0.49819466,3.13699658,1
2457465.20407294,-90.55338272615026,0.06490654,0.5005002,3.13241219,2
2457505.61467828,-16.462007442200893,0.06951936,-0.67020583,-2.48201336,1
2457505.68870348,-16.720633696924647,0.06773258,-0.6692118,-2.48471528,2
2457538.6006146,-113.93603446651507,0.06513719,0.71830821,1.78829687,1
2457538.67461503,-113.91619377591931,0.07462713,0.71809065,1.7875471,2
2457564.34640154,-114.76053685758512,0.06833257,-0.67862719,2.95460358,1
