epoch,object,raoff,raoff_err,decoff,decoff_err
0.0,1,1.2148496247541744e-16,1e-05,-0.996,1e-05
54.29141372441616,1,-0.802939777603423,1e-05,-0.5905233371501986,1e-05
108.58282744883232,1,-0.9534717701447724,1e-05,0.2967558892944223,1e-05
162.8742411732485,1,-0.3286421807383915,1e-05,0.9454704773707747,1e-05
217.16565489766464,1,0.565197494765257,1e-05,0.8285809449298276,1e-05
271.4570686220808,1,1.0031694341534023,1e-05,0.040082192767422406,1e-05
325.748482346497,1,0.6299854687958502,1e-05,-0.7811708543442715,1e-05
380.03989607091313,1,-0.2517850825675296,1e-05,-0.9697217156246667,1e-05
434.3313097953293,1,-0.9271915352748731,1e-05,-0.373357698665214,1e-05
488.6227235197454,1,-0.8489485057482505,1e-05,0.5234707136923781,1e-05
542.9141372441616,1,-0.08141687637159957,1e-05,0.9927881918442774,1e-05
597.2055509685778,1,0.7517126460598447,1e-05,0.6537966874396817,1e-05
651.496964692994,1,0.97357422913566,1e-05,-0.21815006160640665,1e-05
705.7883784174101,1,0.40342177420160674,1e-05,-0.914997475858976,1e-05
760.0797921418263,1,-0.4966369272574867,1e-05,-0.8705578594961135,1e-05
814.3712058662423,1,-0.9965334718562202,1e-05,-0.11999157860127227,1e-05
868.6626195906586,1,-0.690582056345523,1e-05,0.7286243565196624,1e-05
922.9540333150748,1,0.1733441537666037,1e-05,0.9875819656700595,1e-05
977.2454470394908,1,0.8948937466465353,1e-05,0.447447591667547,1e-05
1031.536860763907,1,0.8894250047759323,1e-05,-0.4530802079984665,1e-05
0.0,2,-4.897362549790266e-16,1e-06,1.999,1e-06
54.29141372441616,2,0.6485828854241588,1e-06,1.8910442326458927,1e-06
108.58282744883232,2,1.2274497820307453,1e-06,1.578589962510734,1e-06
162.8742411732485,2,1.6739804692597962,1e-06,1.0948709703918795,1e-06
217.16565489766464,2,1.9393495855291585,1e-06,0.4918470090411708,1e-06
271.4570686220808,2,1.994173325715327,1e-06,-0.16505603564796897,1e-06
325.748482346497,2,1.8322030803589893,1e-06,-0.804101778140351,1e-06
380.03989607091313,2,1.4712523124024839,1e-06,-1.355465823998944,1e-06
434.3313097953293,2,0.9510535750564385,1e-06,-1.759269778769404,1e-06
488.6227235197454,2,0.3284504607284775,1e-06,-1.9721766836670969,1e-06
542.9141372441616,2,-0.32914673000503264,1e-06,-1.9717464291685083,1e-06
597.2055509685778,2,-0.9510203248360406,1e-06,-1.758355580400463,1e-06
651.496964692994,2,-1.4703697793334731,1e-06,-1.3548888613206695,1e-06
705.7883784174101,2,-1.8310743328269588,1e-06,-0.8044529458125207,1e-06
760.0797921418263,2,-1.993647187765795,1e-06,-0.16620319743206907,1e-06
814.3712058662423,2,-1.939839175384413,1e-06,0.49066836394497515,1e-06
868.6626195906586,2,-1.6751294942205113,1e-06,1.0944554318575912,1e-06
922.9540333150748,2,-1.2284171918202043,1e-06,1.5791350069330559,1e-06
977.2454470394908,2,-0.6487154009078009,1e-06,1.8920051297930225,1e-06
1031.536860763907,2,0.0006520921102706618,1e-06,1.9995429057102476,1e-06
