obs_time_tcb,centroid_pos_al,centroid_pos_error_al,parallax_factor_al,scan_pos_angle,field_of_view
2456997.45972205,-42.82398837949202,0.03672348,-0.70325357,-0.79486644,2
2457031.68223352,-19.27937986174879,0.03719895,0.69996375,-2.96754925,2
2457056.67470503,-94.45892298997643,0.03970326,-0.69036591,-1.85055352,2
2457092.39191997,47.84835478887994,0.03829537,0.6967169,2.24383115,2
2457117.56113623,-78.8224978829764,0.03981766,-0.70512533,-2.91993402,1
2457153.781493,90.33859377956227,0.04392757,0.7148872,1.18325453,1
2457217.50111612,70.12902239159172,0.03775244,0.72067326,0.12798316,1
2457217.57509959,70.06815945417046,0.03498866,0.72105604,0.12622349,2
2457249.06325349,20.158657854341534,0.03684106,-0.7158221,1.16102551,2
2457249.23942678,20.16925439222608,0.03430849,-0.71436268,1.15608766,1
2457282.97282248,14.538327114742657,0.03660502,0.70908409,-0.97341197,1
2457313.78454882,-1.0210749540346655,0.03482546,-0.70903575,0.05546062,2
2457313.96073245,-1.069837460856738,0.03476093,-0.70789093,0.0508257,1
2457347.26394377,-13.984457543225654,0.03649255,0.70730543,-2.0941444,2
2457374.6801475,-46.93217676735216,0.03395945,-0.70175278,-1.00580492,1
2457409.22504896,8.37692311826344,0.03474588,0.69996172,3.09988283,2
2457433.893932,-69.11011265521421,0.03457221,-0.68908113,-2.06392293,1
2457433.96792657,-69.05534328163029,0.04053088,-0.68976456,-2.06427778,2
2457469.86109555,47.635861311998354,0.03453195,0.69907451,2.03008926,1
2457531.57582259,63.18589324069353,0.03722496,0.71777731,0.97303621,1
2457531.64982653,63.16609373844139,0.03858653,0.71767336,0.97196807,2
2457560.81606789,-19.410890200684506,0.03832153,-0.72550559,2.05812646,1
2457560.89011838,-19.491105601719728,0.03877517,-0.72529954,2.05661595,2
2457595.79632772,45.344932710863496,0.03736908,0.71616852,-0.08772132,1
2457595.87035772,45.29434478884514,0.03520499,0.7166357,-0.08961434,2
2457691.5056475,-22.808508962489032,0.0399576,-0.71134359,-0.1596518,1
2457751.72419962,-38.918424809090716,0.03676962,-0.69950902,-1.21538265,1
2457751.79823873,-39.00371280145918,0.0393716,-0.69979745,-1.21626084,2
2457811.24429245,-40.31091563718507,0.03456223,-0.69074064,-2.27783658,1
2457847.21165229,35.735353548636986,0.03699566,0.70445216,1.8178049,1
2457847.28559593,35.78599901163417,0.04545044,0.70388383,1.81734816,2
2457873.45419874,-33.693124719955385,0.03940981,-0.71284997,2.93329777,1
2457909.42771824,33.99914376683464,0.03639444,0.72005904,0.76377745,1
2457909.50171735,33.901885436294656,0.03691657,0.72009438,0.76251184,2
2457939.41734539,-32.01392156980238,0.03567342,-0.72159278,1.83613638,1
2457939.49135127,-32.05853440574654,0.04443528,-0.72126931,1.83446579,2
2457974.14894254,30.699720501983514,0.03338945,0.7105822,-0.30596551,1
2457974.22294827,30.728346386582956,0.03596719,0.71110517,-0.30795113,2
2458005.96061829,-36.88759650022024,0.0387443,-0.71324527,0.71203833,2
2458006.13678786,-36.76559088961881,0.03560814,-0.71172887,0.70691889,1
2458039.36946765,36.596298654621116,0.03516534,0.70264393,-1.42056072,1
2458039.44348525,36.63104935806737,0.03805565,0.70316309,-1.42256341,2
2458069.10797515,-33.96464688588315,0.03625068,-0.71257848,-0.37377535,1
2458102.83395201,43.54131194035472,0.03588778,0.70863706,-2.53442227,1
2458102.907984,43.54289774050636,0.0340747,0.70847505,-2.5354979,2
2458128.82535563,-20.489191741764458,0.03813676,-0.69789642,-1.42669628,1
2458188.53710105,-12.078827326826996,0.036602,-0.6930604,-2.49123003,1
2458188.6111472,-12.109945228629421,0.03858583,-0.6937843,-2.49153532,2
2458224.75521574,14.113014773118696,0.0350787,0.71040207,1.60550187,1
2458224.8291705,14.151361948663613,0.04080259,0.70993251,1.60492059,2
2458251.57114129,-26.88403878506618,0.03807389,-0.7147451,2.71799767,2
2458251.74731392,-26.877653467291985,0.03610298,-0.71532035,2.71579723,1
2458318.21167744,-54.71416262348335,0.0382025,-0.7161873,1.60872948,1
2458352.4441692,27.95855325163981,0.03545425,0.70413989,-0.52418703,1
2458352.51817854,28.00187856517614,0.03842695,0.70472121,-0.5262659999999999,2
2458384.1818311,-62.71800148545779,0.03492164,-0.71306825,0.49043497,1
2458384.25586032,-62.83346728407425,0.03719003,-0.71248108,0.48833630999999994,2
2458417.66386202,62.72723864615701,0.03505557,0.7027728,-1.64973697,1
2458446.47675183,-33.31690500565834,0.03785376,-0.71266615,-0.58447187,2
2458480.3769716,67.31081861799993,0.03498848,0.70754552,-2.75079699,1
2458480.45096982,67.25127616116178,0.03619536,0.70725727,-2.7516985,2
2458505.86895163,6.107325563602969,0.03352448,-0.69710177,-1.63817485,1
2458505.94297666,6.1334523449488705,0.03627288,-0.6976319,-1.63873117,2
2458566.07991281,11.73649108386209,0.03485973,-0.69803512,-2.70529546,1
2458566.15394728,11.736127476394211,0.03775924,-0.6987201,-2.7056491,2
2458602.37301133,-14.316307164858573,0.03833612,0.71734792,1.39394804,2
2458630.04046905,-32.5591145968392,0.0365798,-0.71577793,2.49874924,1
2458690.59254684,-81.17769032826591,0.03487441,-0.71228802,1.48878488,1
