obs_time_tcb,centroid_pos_al,centroid_pos_error_al,parallax_factor_al,scan_pos_angle,field_of_view
2457023.01337593,-68.4301415561193,0.05792753,-0.6394906,-2.12497702,2
2457075.1787514,-52.740141654727125,0.06591836,-0.53703135,-1.7021274,1
2457199.1771281,35.11327925995015,0.05979678,0.61875069,-0.48739621,1
2457199.25112112,35.158534453843906,0.05885843,0.61739689,-0.48442626,2
2457229.48853085,7.04453550140535,0.05723812,-0.72479522,1.27692796,2
2457254.2320263,48.61222768521934,0.05838112,0.60945475,0.02168131,2
2457353.09644806,-22.38487546744926,0.05452432,-0.0515025,3.02312315,2
2457353.27262225,-21.69128791972241,0.0513216,-0.04033585,3.01034901,1
2457353.34660467,-21.586314826523747,0.06200095,-0.03563655,3.00499357,2
2457353.52277557,-20.721681937159772,0.05571478,-0.02434455,2.99213636,1
2457353.59683122,-20.491588106403064,0.05705026,-0.01959606,2.9867439,2
2457353.77299087,-19.87654873107194,0.05422195,-0.0081914,2.97381507,1
2457398.48691529,-49.454590974644816,0.05675675,-0.68935096,-1.99001581,1
2457428.47457694,3.0444760977859566,0.05362973,0.63680845,3.06418989,1
2457428.5485803,2.9483453087125064,0.0622122,0.63484299,3.06742214,2
2457450.55188989,-33.257483941944656,0.05264827,-0.40130776,-1.71262413,2
2457450.7280785,-33.29534467670908,0.06238112,-0.40633935,-1.70212493,1
2457575.72522291,31.528508059086953,0.06297622,0.68849415,-0.43286341,1
2457575.79924245,31.38285473764279,0.05455833,0.68764853,-0.43079047,2
2457609.45316896,-9.64421545627128,0.05928469,-0.67832154,1.37675764,1
2457609.52721157,-9.474656867588775,0.0634233,-0.67658257,1.37529964,2
2457737.56591607,12.911100609716982,0.05759049,0.48138967,2.6431071,1
2457737.63993708,13.160093635463262,0.06082574,0.48516518,2.63911616,2
2457774.03525407,-31.666395443975215,0.05822479,-0.70722407,-1.88292444,1
2457774.10928921,-31.523085728119025,0.05848953,-0.7072736,-1.88216647,2
2457809.65030366,10.824550413773153,0.05337758,0.48506874,-2.90725104,2
2457825.08346824,-11.840497460694904,0.05783943,-0.20934023,-1.8031011,1
2457825.1574856,-11.91930312078683,0.06297625,-0.21189319,-1.79803631,2
2457825.33368433,-12.042662196575575,0.05465357,-0.21785761,-1.78608708,1
2457899.34569981,4.730734648956944,0.05760895,0.11294249,-0.32993319,1
2457899.41970833,4.706113761162973,0.05975907,0.11032464,-0.32487073,2
2457899.59582498,4.382602326199832,0.06067763,0.10411079,-0.31289076,1
2457899.66984973,4.4099021529543165,0.05732762,0.10145798,-0.30781465,2
2457899.84596003,4.2330916366829445,0.0558359,0.09516424,-0.29580936,1
2457899.92000974,4.0578676848537025,0.05975613,0.09247696,-0.29071943,2
2457952.15424977,24.288277755571578,0.0588954,0.72128862,-0.3589577199999999,2
2457989.29868131,-21.57268543553014,0.05414129,-0.56682533,1.43765,1
2457989.37269268,-21.543575765252143,0.05621042,-0.56371504,1.43453714,2
2458004.37575428,8.926751287566487,0.06351865,0.3655591,0.48477205,2
2458099.48413033,-6.830806550835773,0.05478858,-0.45214832,-2.51511193,2
2458099.6603251,-6.581336806139275,0.05868545,-0.44556293,-2.52313198,1
2458116.91318999,25.15410409391199,0.0517556,0.62559181,2.67302307,1
2458116.98719843,25.278316112478418,0.05633628,0.62792325,2.67081185,2
2458149.89160916,-14.447944362039026,0.05524971,-0.69018823,-1.79784121,1
2458273.3924549,5.454770810449361,0.06357651,0.34380135,-0.48618442,1
2458273.46643289,5.284373450400359,0.05811406,0.34159398,-0.48169381,2
2458273.64255515,4.840041265934264,0.05396111,0.3363339,-0.47104432,1
2458273.71655173,4.6816753899263635,0.05616196,0.33408323,-0.46653445,2
2458294.46986786,-39.35356865890631,0.05513971,-0.60299754,0.90851368,2
2458294.64604524,-39.50439587302861,0.06150117,-0.60855514,0.9171608500000001,1
2458328.62759679,13.05525203706881,0.05314265,0.71696943,-0.26047617,1
2458369.66121575,-29.94122848076101,0.05648237,-0.36477819,1.42951657,2
2458369.83736672,-29.6496383179304,0.05670111,-0.35440487,1.41843101,1
2458378.09126004,-17.2128146683481,0.05559647,0.17418668,0.84802021,1
2458378.16528952,-17.26547771337001,0.06392003,0.17830449,0.84326797,2
2458474.20473897,9.031690374129898,0.05179592,-0.56309468,-2.29674727,1
2458474.27875512,9.030582274649058,0.05942281,-0.56112045,-2.29911055,2
2458495.95336538,37.2030613112923,0.05177097,0.69452292,2.7569699,1
2458525.69087762,2.2638786290743216,0.06167582,-0.63566715,-1.73732278,1
2458649.19047076,4.406265923631049,0.05402391,0.49643704,-0.50967227,1
2458649.26448584,4.295840485494263,0.05967373,0.49463543,-0.50587989,2
2458675.51077804,-59.866270591100104,0.05881953,-0.69802368,1.13104387,2
2458711.54685829,-53.44551562788294,0.05366946,-0.63317204,1.40811374,1
2458711.62085353,-53.51857867673353,0.06045606,-0.63433468,1.41080124,2
2458833.95947443,33.1829324348818,0.06186626,0.4986161,2.63805502,1
2458858.74748382,20.914126257481318,0.05646535,-0.69005179,-1.9995309,1
2458858.82147328,20.900493023066794,0.05969346,-0.69116151,-1.99744229,2
